PARCEL ID,PARCEL ZIP CODE,Shape__Area
010080412,84010,3261.828125
010080415,84010,3166.69921875
010080416,84010,3122.9921875
010080417,84010,3114.48046875
010080418,84010,3040.9296875
010080419,84010,2978.70703125
010080501,84010,1645.7421875
010080502,84010,1641.15234375
010080503,84010,2269.4296875
010080504,84010,2971.8359375
010080505,84010,1686.99609375
010080506,84010,2069.90625
010080507,84010,1431.1015625
010080508,84010,1430.578125
010080509,84010,1737.1484375
010080510,84010,1868.83203125
010080511,84010,2044.32421875
010080512,84010,1557.32421875
010080513,84010,1389.09765625
010080514,84010,1430.4140625
010080515,84010,1493.265625
010080516,84010,1580.765625
010080517,84010,1569.21875
010080518,84010,2384.33203125
010080519,84010,1642.7578125
010080520,84010,2448.234375
010080521,84010,1879.94921875
010080522,84010,1491.9296875
010080523,84010,1262.796875
010080524,84010,2105.640625
010080525,84010,2773.54296875
010080526,84010,2033.37890625
010080530,84010,98.53515625
010080531,84010,3605.265625
010080532,84010,3042.8125
010080533,84010,3104.13671875
010080534,84010,184.26953125
010080535,84010,1378.12890625
010100936,84010,3253.26171875
010100937,84010,4895.625
010100938,84010,7001.78125
010100939,84010,6066.47265625
010100941,84010,1603.8984375
010100942,84010,2011.23828125
010100943,84010,1783.6875
010100944,84010,1625.6171875
010100945,84010,1629.9375
010100946,84010,1856.4921875
010100947,84010,1581.26953125
010100948,84010,1778.97265625
010100949,84010,2088.41015625
010100950,84010,2572.33984375
010100951,84010,2353.5703125
010100952,84010,2023.44140625
010100953,84010,1850.32421875
010100955,84010,241.13671875
010100956,84010,598.9921875
010100957,84010,2079.6015625
010110001,84010,2376.328125
010110002,84010,1615.94921875
010110003,84010,1636.484375
010110004,84010,3406.83984375
010110005,84010,2246.34765625
010110006,84010,1982.8828125
010110007,84010,1971.125
010110008,84010,1977.17578125
010110009,84010,1973.25
010110010,84010,1649.5625
010110011,84010,1668.78125
010110012,84010,2068.71875
010110013,84010,1780.6171875
010110014,84010,1794.90625
010110017,84010,1670.3984375
010110018,84010,1907.69140625
010110019,84010,101.33984375
010120001,84010,1958.703125
010120002,84010,1989.296875
010120003,84010,1965.1484375
010120004,84010,2083.0390625
010120005,84010,2092.91796875
010120006,84010,2005.30078125
010120007,84010,2585.109375
010120009,84010,3261.03125
010120010,84010,3306.94140625
010120011,84010,3219.77734375
010120012,84010,3231.609375
010120013,84010,3384.48046875
010120014,84010,3446.1796875
010120015,84010,3423.5234375
010120016,84010,3436.8671875
010120017,84010,3455.40625
010120018,84010,5565.69921875
010120020,84010,2319.36328125
010120022,84010,1960.67578125
010120024,84010,2603.0546875
010120025,84010,1952.171875
010120026,84010,1974.34765625
010120027,84010,2025.87109375
010120028,84010,1873.28515625
010120029,84010,1954.109375
010120030,84010,2054.20703125
010120031,84010,2687.85546875
010120032,84010,21.03515625
